learner,tuner,rep,pehe,pehe_plug,dimension,final_tuning_mse
x_cb,bayes,11,0.1755497061910177,0.3604791113680176,6d,1.1115203243756608
x_cb,bayes,12,0.2289155503500843,0.4396508805443073,6d,1.1439558342128116
x_cb,bayes,13,0.0971172128837983,0.2521290832569202,6d,1.1253311096668452
x_cb,bayes,14,0.0985514322063222,0.4922922829306541,6d,1.0365637458728576
x_cb,bayes,15,0.1945550741781865,0.1898339688977686,6d,1.18630668983923
x_cb,bayes,16,0.1829138578185556,0.432428572083544,6d,1.20855803382424
x_cb,bayes,17,0.128719908114601,0.316840417429423,6d,1.111309331784892
x_cb,bayes,18,0.1411476962658764,0.3628997474458379,6d,1.119831562960374
x_cb,bayes,19,0.1788188540990017,0.3327858493916114,6d,1.1836773239804643
x_cb,bayes,20,0.1076499740895789,0.2127280529186191,6d,1.1164186482418974
x_cb,bayes,21,0.1430604752112054,0.4623985013476972,6d,1.1212745096759742
x_cb,bayes,22,0.1097985603417619,0.2543730919137218,6d,1.076761477363237
x_cb,bayes,23,0.1635607387359373,0.2188227242078543,6d,1.162709207398601
x_cb,bayes,24,0.0740094644449712,0.1534451328638081,6d,1.223528063691483
x_cb,bayes,25,0.238029136370645,0.3756026237647681,6d,1.0674597484516817
x_cb,bayes,26,0.1681569891776012,0.2092430187801632,6d,1.1501456663703304
x_cb,bayes,27,0.1712700123148547,0.3173747138890735,6d,1.1328934568779785
x_cb,bayes,28,0.2755363119413525,0.2571716909232605,6d,1.0453936277597573
x_cb,bayes,29,0.0969047967844591,0.3838341104176551,6d,1.142265983897957
x_cb,random,0,0.0998276917395214,0.3259149838344983,6d,1.104689292454825
x_cb,random,1,0.3734840149911004,0.8097331675583285,6d,1.083902283124621
x_cb,random,2,0.1835143774285361,0.4366902434758435,6d,1.1940758894667154
x_cb,random,3,0.2702333003999907,0.4364014509682298,6d,1.095835577072541
x_cb,random,4,0.1128670172557572,0.4207160278768995,6d,1.191980342475042
x_cb,random,5,0.1475426255586594,0.4958651792523597,6d,1.1121535911095368
x_cb,random,6,0.1475051375752,0.3713956369471331,6d,1.0770542370817282
